gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
CHA202403280,greer003,DET,1,7,value,27,5,0,0,0,0,,,,,1,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,vierm001,DET,1,9,value,27,2,0,0,0,0,,,,,1,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,keitc001,DET,1,4,value,27,1,0,0,0,0,,,,,1,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,rogej004,DET,1,2,value,27,10,1,0,0,0,0,0,0,0,1,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,baezj001,DET,1,6,value,27,2,1,0,0,0,,,,,1,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,meadp001,DET,1,8,value,27,1,0,0,0,0,,,,,1,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,crocg001,CHA,1,1,value,18,0,0,0,0,0,,,,,1,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,garcd003,CHA,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,kopem001,CHA,1,1,value,3,1,0,0,0,0,,,,,0,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,leond003,CHA,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,benia002,CHA,1,7,value,27,3,0,0,0,0,,,,,1,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,moncy001,CHA,1,5,value,27,0,2,0,0,0,,,,,1,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,robel002,CHA,1,8,value,27,3,0,0,0,0,,,,,1,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,vauga001,CHA,1,3,value,27,6,1,0,0,0,,,,,1,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,dejop001,CHA,1,6,value,27,0,1,0,0,0,,,,,1,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,pillk001,CHA,1,9,value,27,1,0,0,0,0,,,,,1,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,maldm001,CHA,1,2,value,27,11,0,0,0,0,0,0,1,0,1,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CHA202403280,lopen001,CHA,1,4,value,27,2,3,0,0,0,,,,,1,20240328,0,CHI12,h,DET,0,1,0,regular,y,y
CIN202403280,grayj004,WAS,1,1,value,12,0,0,0,0,0,,,,,1,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,garcr008,WAS,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,flord002,WAS,1,1,value,3,0,1,0,0,0,,,,,0,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,barnm001,WAS,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,raint003,WAS,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,abrac001,WAS,1,6,value,24,3,2,0,0,0,,,,,1,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,thoml002,WAS,1,9,value,24,3,0,0,0,0,,,,,1,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,winkj002,WAS,1,7,value,24,1,0,0,0,0,,,,,1,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,gallj002,WAS,1,3,value,24,6,0,0,0,0,,,,,1,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,ruizk001,WAS,1,2,value,24,8,1,0,0,0,0,0,3,0,1,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,rosae001,WAS,1,8,value,24,1,0,0,0,0,,,,,1,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,vargi001,WAS,1,5,value,24,1,1,0,0,0,,,,,1,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,garcl006,WAS,1,4,value,24,1,0,0,0,0,,,,,1,20240328,0,CIN09,v,CIN,0,1,0,regular,y,y
CIN202403280,montf001,CIN,1,1,value,18,1,0,0,0,0,,,,,1,20240328,0,CIN09,h,WAS,1,0,0,regular,y,y
